old_url,new_url,redirect_type,priority,backlinks_or_traffic_notes,content_owner,implementation_status,notes
/people,/people/,301,high,,,pending,Legacy non-locale path
/people/,/people/,301,high,,,pending,
/news,/news/,301,high,,,pending,
/news/,/news/,301,high,,,pending,
/international,/international/,301,medium,,,pending,
/international/,/international/,301,medium,,,pending,
/about-us,/about-us/,301,medium,,,pending,
/about-us/,/about-us/,301,medium,,,pending,
/about,/about-us/,301,medium,,,pending,If /about existed on old stack
/about/,/about-us/,301,medium,,,pending,
/contact,/contact/,301,high,,,pending,
/contact/,/contact/,301,high,,,pending,
/24-7-immediate-response,/24-7-immediate-response/,301,medium,,,pending,
/24-7-immediate-response/,/24-7-immediate-response/,301,medium,,,pending,
/compliance/privacy-disclaimer,/compliance/privacy-disclaimer/,301,high,,,pending,
/compliance/privacy-disclaimer/,/compliance/privacy-disclaimer/,301,high,,,pending,
/compliance/complaints-handling,/compliance/complaints-handling/,301,high,,,pending,
/compliance/complaints-handling/,/compliance/complaints-handling/,301,high,,,pending,
/compliance/schillings-sra,/compliance/schillings-sra/,301,high,,,pending,
/compliance/schillings-sra/,/compliance/schillings-sra/,301,high,,,pending,
/compliance/candidate-privacy-notice,/compliance/candidate-privacy-notice/,301,medium,,,pending,
/compliance/candidate-privacy-notice/,/compliance/candidate-privacy-notice/,301,medium,,,pending,
/expertise,/expertise/,301,medium,,,pending,Trailing slash canonical
/us/expertise,/us/expertise/,301,medium,,,pending,
/ie/expertise,/ie/expertise/,301,medium,,,pending,
/search,/search/,301,low,,,pending,
/search/,/search/,301,low,,,pending,
/keith-schilling-founder,/keith-schilling-founder/,301,medium,,,pending,
/keith-schilling-founder/,/keith-schilling-founder/,301,medium,,,pending,
/complaints-handling,/compliance/complaints-handling/,301,high,,,pending,Legacy path (live 301s to /compliance/…); locale-canonical on new stack
/complaints-handling/,/compliance/complaints-handling/,301,high,,,pending,
/privacy-notice,/compliance/privacy-disclaimer/,301,high,,,pending,Live /privacy-notice/ currently chains to 404 — new stack should land on compliance privacy
/privacy-notice/,/compliance/privacy-disclaimer/,301,high,,,pending,
/standard-terms-of-business,/compliance/standard-terms-of-business/,301,high,,,pending,Also in site/vercel.json
/standard-terms-of-business/,/compliance/standard-terms-of-business/,301,high,,,pending,
/standard-terms-of-business-and-privacy-notice,/compliance/standard-terms-of-business/,301,high,,,pending,Legacy long URL from Standard Terms links
/standard-terms-of-business-and-privacy-notice/,/compliance/standard-terms-of-business/,301,high,,,pending,
/careers,/careers/,301,medium,,,pending,Mirrors site/vercel.json (IA §1)
/careers/,/careers/,301,medium,,,pending,
/accessibility,/accessibility/,301,medium,,,pending,Mirrors site/vercel.json (IA §1)
/accessibility/,/accessibility/,301,medium,,,pending,
/news/10-things-lawyers-should-consider-when-instructing-investigators,/news/10-things-lawyers-should-consider-when-instructing-investigators/,301,high,,,pending,news migration import
/news/5-steps-to-make-instagram-safer,/news/5-steps-to-make-instagram-safer/,301,high,,,pending,news migration import
/news/5-steps-to-take-now-to-better-manage-your-familys-digital-portfolio,/news/5-steps-to-take-now-to-better-manage-your-familys-digital-portfolio/,301,high,,,pending,news migration import
/news/a-new-brand-for-a-new-era,/news/a-new-brand-for-a-new-era/,301,high,,,pending,news migration import
/news/adam-wilkinson-spears-security-intelligence-and-investigations-index,/news/adam-wilkinson-spears-security-intelligence-and-investigations-index/,301,high,,,pending,news migration import
/news/ai-voice-technology-privacy-security-risks,/news/ai-voice-technology-privacy-security-risks/,301,high,,,pending,news migration import
/news/an-asset-tracers-alphabet,/news/an-asset-tracers-alphabet/,301,high,,,pending,news migration import
/news/apprentice-tolu-ayeni-wins-at-city-century-awards,/news/apprentice-tolu-ayeni-wins-at-city-century-awards/,301,high,,,pending,news migration import
/news/asset-tracing-treasure-hunt,/news/asset-tracing-treasure-hunt/,301,high,,,pending,news migration import
/news/ben-hobbs-joelle-rich-win-citywealth-future-leaders-awards-2021,/news/ben-hobbs-joelle-rich-win-citywealth-future-leaders-awards-2021/,301,high,,,pending,news migration import
/news/beyonce-of-the-legal-world-the-rt-hon-the-baroness-hale-of-richmond,/news/beyonce-of-the-legal-world-the-rt-hon-the-baroness-hale-of-richmond/,301,high,,,pending,news migration import
/news/black-friday-fraud-shop-safely-online,/news/black-friday-fraud-shop-safely-online/,301,high,,,pending,news migration import
/news/breaking-into-legal-sector-law-firm-investigator,/news/breaking-into-legal-sector-law-firm-investigator/,301,high,,,pending,news migration import
/news/brittany-damora-promoted-to-partner,/news/brittany-damora-promoted-to-partner/,301,high,,,pending,news migration import
/news/chamber-partners-2023-schillings-retains-band-1,/news/chamber-partners-2023-schillings-retains-band-1/,301,high,,,pending,news migration import
/news/chambers-2023-intelligence-investigations-band-2,/news/chambers-2023-intelligence-investigations-band-2/,301,high,,,pending,news migration import
